timestamp,headline,label,confidence,positivity_score
Today 10:00AM,"Atos and IGM Financial successfully complete public cloud transformation


(GlobeNewswire)",neutral,1.0,0.0
09:10AM,"IBM vs. Oracle: Which Hybrid Cloud Stock Offers Better Growth?


(Zacks)",neutral,1.0,0.0
09:00AM,"A $20 billion clock is ticking for OpenAI as Microsoft talks turn fractious


(Yahoo Finance)",negative,1.0,0.0
08:23AM,"Microsoft (MSFT) Reportedly Plans Thousands of Job Cuts in Sales Teams


(GuruFocus.com)",negative,0.9971,0.0029
07:13AM,"Microsoft's Next Xbox Will Run on AMD; Won't Be Tied to One Store


(GuruFocus.com)",negative,1.0,0.0
07:12AM,"Microsoft to Axe Thousands of Sales Roles at Fiscal-Year End


(GuruFocus.com)",negative,1.0,0.0
06:56AM,"Microsoft to reportedly cut thousands of jobs, focusing on sales teams


(Verdict)",negative,1.0,0.0
06:38AM,"Microsoft Plans Thousands of Job Cuts. How AI Is Reshaping the Labor Market.


(Barrons.com)",negative,1.0,0.0
06:30AM,"Magnificent 7 May Need to Make Room for Broadcom


(The Daily Upside)",negative,0.4669,0.3462
06:20AM,"Should Schwab U.S. Large-Cap Growth ETF (SCHG) Be on Your Investing Radar?


(Zacks)",negative,0.9998,0.0001
03:44AM,"Vodafone Group Names Microsofts Pilar Lopez as New Financial Chief


(The Wall Street Journal)",negative,1.0,0.0
Jun-18-25 11:22PM,"Fujitsu unveils AI-powered presentation technology, enabling automated multilingual and customizable presentations


(PR Newswire)",negative,0.904,0.0001
10:56PM,"Big Tech's AI Takeover? Amazon, Google, and Microsoft Push for 10-Year Regulatory Freeze


(GuruFocus.com)",negative,0.9924,0.0028
09:31PM,"Nvidia Stock Could Rise Another 38%, Making Jensen Huang-Led AI Giant A Nearly $5 Trillion Company, Says Barclays


(Benzinga)",neutral,0.8853,0.0001
05:38PM,"Amazon CEO Andy Jassy says company will cut jobs amid AI boom. It's already happening at Microsoft.


(Yahoo Finance)",negative,0.9999,0.0001
05:35PM,"Microsoft Stock Just Hit a Fresh High; Company Plans to Trim Thousands of Jobs, Report Says


(Investopedia)",negative,0.9589,0.0322
05:19PM,"Microsoft Plans to Cut Thousands More Employees


(The Wall Street Journal)",negative,0.9999,0.0001
