timestamp,headline,label,confidence,positivity_score
Today 06:46AM,"Tesla Faces Calls to Delay Robotaxi Launch. Why the Stock Has a Bigger Issue.


(Barrons.com)",positive,0.9991,0.9991
08:28AM,"Tesla's Next Big Catalyst Faces Delay--Robotaxi Launch Under Scrutiny


(GuruFocus.com)",positive,0.9997,0.9997
07:10AM,"Ex-SpaceX Duo Snag $25 Million to Onshore Wire-harness Production


(GuruFocus.com)",negative,1.0,0.0
06:30AM,"Magnificent 7 May Need to Make Room for Broadcom


(The Daily Upside)",negative,0.4669,0.3462
06:20AM,"Should First Trust NASDAQ-100 Ex-Technology Sector ETF (QQXT) Be on Your Investing Radar?


(Zacks)",negative,0.9995,0.0005
05:28AM,"Texas legislators urge Tesla to delay robotaxi launch in Austin


(Just Auto)",positive,0.9986,0.9986
Jun-18-25 11:25PM,"Tesla asked to delay robotaxi launch by Democratic Texas lawmakers


(Reuters)",negative,0.5861,0.4139
06:00PM,"Prediction: This Artificial Intelligence (AI) Stock Could Be the Biggest Winner of the Second Half of 2025


(Motley Fool)",neutral,1.0,0.0
05:45PM,"Why the Market Dipped But Tesla (TSLA) Gained Today


(Zacks)",negative,0.7957,0.1158
04:30PM,"Tesla Cybertruck Caught Driving In Wrong Lane On FSDJust Days Before Robotaxi Launch


(Benzinga)",positive,0.9952,0.9952
04:06PM,"U.S. Steel Had the Stock Ticker Symbol 'X' For a Century. Who Gets It Now?


(Investopedia)",negative,0.9999,0.0
02:23PM,"Waymo is returning to NYC, but it still needs a change in the law to provide driverless rides


(CNN Business)",negative,0.9487,0.0508
01:55PM,"War Premiums Explode: Oil Tankers Face 60% Surge to Cross World's Most Dangerous Waterway


(GuruFocus.com)",positive,0.7281,0.7281
01:26PM,"This Self-Driving Car Stock Is Heating Up as Tesla Puts the Spotlight on Robotaxis. Should You Buy It Here?


(Barchart)",negative,0.9996,0.0003
01:19PM,"Cathie Wood Says If She Could Only Invest in 1 Artificial Intelligence (AI) Stock, This Would Be It (Hint: It's Not Palantir)


(Motley Fool)",negative,1.0,0.0
01:03PM,"Waymo applies for special permit to bring its self-driving cars to New York City


(Yahoo Finance)",negative,1.0,0.0
12:57PM,"Amazons Zoox Opens Robotaxi Production Site in California


(Bloomberg)",negative,1.0,0.0
12:55PM,"VW to sell ID. Buzz robotaxis next year, taking on Tesla and Waymo


(Yahoo Finance)",negative,1.0,0.0
12:49PM,"Tesla's Robotaxi Launch Is Days Away -- And the Stock Market Smell Blood or Brilliance


(GuruFocus.com)",negative,0.9993,0.0007
12:44PM,"Musk's $13B AI Gamble: xAI Burns $1B/Month with Just $500M in Revenue


(GuruFocus.com)",negative,0.9999,0.0001
12:35PM,"AI May Ultimately Tame Inflation. It Won't Sideline the Fed.


(Barrons.com)",negative,0.9988,0.0011
12:31PM,"Stock Market Today: Dow Jones Rises Ahead Of Fed Rate Decision; Tesla Jumps (Live Coverage)


(Investor's Business Daily)",negative,0.9661,0.0
11:56AM,"Tesla Bulls and Bears Collide: What Investors Should Know


(MarketBeat)",negative,0.9494,0.0503
11:03AM,"Amazon hopes to deliver 10,000 robotaxis annually with new factory, challenging Waymo


(Associated Press Finance)",negative,0.9998,0.0001
11:03AM,"Amazon begins to ramp up its Zoox robotaxi factory as it prepares to challenge Waymo


(Associated Press Finance)",negative,0.9983,0.0007
11:03AM,"Zoox launches its first robotaxi production facility, taking on Tesla and Waymo


(Reuters)",negative,0.9996,0.0001
